pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	kpirmk	sysdat	usno
1-1-35	0	01101		106	01101	1	110101006		0220	025			0	0		臺	21	月	12		0		0		13500	3402000	3402000	3402000	3402000	0	0	高速影印機使用費。									0	261	122	0	0117				0008			1050516	BGT
1-1-35	0	01101		106	01101	1	110101006		0220	026			0	0		臺	1	月	12		0		0		50000	600000	600000	600000	600000	0	0	彩色影印機使用費。									0	261	122	0	0118				0008			1050516	BGT
2-1-34	0	02101		106	02101	1	120101002		0220	004			0	0		臺	20	月	12	張	2088		0	20.00×12.00×2088.00	0.7	350784	350784	350784	350784	0	0	影印機使用費。　　　　　　　									0	261	122	0	0097				0008	旋巧潔		1050510	BGT
2-2-28	0	02102		106	02102	1	120101002		0220	003			0	0		臺	3	月	12	張	7143		0		0.7	180004	180004	180004	180004	0	0	影印機使用費。									0	261	122	0	0030				0008	陳綺敏		1050411	BGT
2-3-24	0	02103		106	02103	1	120101002		0220	006			0	0	2001	臺	1	月	12	張	12800		0	1.00×12.00×12800.00	0.7	107520	107520	107520	107520	0	0	影印機使用費。									1	261	122	0	0038				0008	胡月鳳		1050412	BGT
2-3-25	0	02103		106	02103	1	120101003		0220	003			0	0	2001	臺	1	月	12	張	1000		0	1.00×12.00×1000.00	0.7	8400	8400	7980	7980	0	0	影印機使用費。								依業務需要增列	1	261	122	0	0053				0008	郭銀蓉		1050412	BGT
2-3-26	0	02103		106	02103	1	120101004		0220	005			0	0	2001	臺	1	月	12	張	8700		0		0.7	73080	73080	73080	73080	0	0	影印機使用費。									1	261	122	0	0063				0008	林承澤		1050411	BGT
2-3-27	0	02103		106	02103	1	120101005		0220	002			0	0	2001	臺	1	月	12	張	1900		0		0.7	15960	15960	15960	15960	0	0	影印機使用費。									1	261	122	0	0071				0008	張盛國		1050411	BGT
2-3-28	0	02103		106	02103	1	120101006		0220	001			0	0	2001	臺	1	月	12	張	2200		0	1.00×12.00×2200.00	0.7	18480	18480	17556	17556	0	0	影印機使用費。								依業務需要增列	1	261	122	1	0078				0008	陳翠宜		1050412	BGT
2-3-33	0	02103		106	02103	1	120201002		0220	006			0	0	2001	臺	1	月	12	張	14000		0		0.7	117600	117600	117600	117600	0	0	影印機使用費。									1	261	122	0	0021				0008	范玉梅		1050411	BGT
2-3-38	0	02103		106	02103	1	120202002		0220	004			0	0	2001	臺	1	月	12	張	7800		0		0.7	65520	65520	65520	65520	0	0	影印機使用費。									1	261	122	0	0016				0008	林韋伶		1050411	BGT
2-3-43	0	02103		106	02103	1	120203002		0220	003			0	0	2001	臺	1	月	12	張	7800		0	1.00×12.00×7800.00	0.7	65520	65520	65520	65520	0	0	影印機使用費。									1	261	122	0	0011				0008	徐雅芳		1050414	BGT
